# Boundary points (WGS84 geographic coordinates)
# Reference origin: lat=31.3178, lon=121.406, alt=57.1196
# Format: latitude(deg)  longitude(deg)  altitude(m)
0.000000  0.000000  0.000
31.317760  121.405624  57.120
31.317771  121.405630  57.120
31.317773  121.405647  57.120
31.317771  121.405665  57.120
31.317764  121.405678  57.110
31.317755  121.405688  57.110
31.317742  121.405695  57.110
31.317735  121.405707  57.110
31.317731  121.405727  57.100
31.317740  121.405742  57.110
31.317764  121.405752  57.110
31.317779  121.405763  57.110
31.317787  121.405770  57.110
31.317787  121.405788  57.110
31.317767  121.405800  57.090
31.317761  121.405788  57.100
31.317763  121.405774  57.120
